PBR,PER,ROE,매출액,배당수익율,부채비율,순이익,순이익율,시장구분,업종구분,종목명,종목코드,투자의견,현재가
,,,,,,,,코스닥,,디이엔티,"""079810""",,"16,610"
,,,,,,,,코스닥,,라온피플,"""300120""",,"6,570"
,,,,,,,,코스닥,,로보로보,"""215100""",,"5,830"
,,,,,,,,코스닥,,로스웰,"""900260""",,966
,,,,,,,,코스닥,,리메드,"""302550""",,"12,730"
,,,,,,,,코스닥,,린드먼아시아,"""277070""",,"6,160"
,,,,,,,,코스닥,,모아텍,"""033200""",,"5,310"
,,,,,,,,코스닥,,미래에셋대우스팩 5호,"""353490""",,"2,015"
,,,,,,,,코스닥,,미스터블루,"""207760""",,"2,605"
,,,,,,,,코스닥,,바른손이앤에이,"""035620""",,839
,,,,,,,,코스닥,,바이오다인,"""314930""",,"36,800"
,,,,,,,,코스닥,,바이오스마트,"""038460""",,"3,270"
,,,,,,,,코스닥,,바텍,"""043150""",,"43,050"
,,,,,,,,코스닥,,범한퓨얼셀,"""382900""",,"28,100"
,,,,,,,,코스닥,,베노홀딩스,"""206400""",,"5,050"
,,,,,,,,코스닥,,본느,"""226340""",,"1,443"
,,,,,,,,코스닥,,보광산업,"""225530""",,"6,830"
,,,,,,,,코스닥,,브릿지바이오테라퓨틱스,"""288330""",,"8,910"
,,,,,,,,코스닥,,블리츠웨이,"""369370""",,"1,977"
,,,,,,,,코스닥,,비플라이소프트,"""148780""",,"1,138"
,,,,,,,,코스닥,,비엠티,"""086670""",,"13,800"
,,,,,,,,코스닥,,삼진,"""032750""",,"5,920"
,,,,,,,,코스닥,,삼보모터스,"""053700""",,"6,600"
,,,,,,,,코스닥,,상상인,"""038540""",,"4,925"
,,,,,,,,코스닥,,상상인제3호스팩,"""415580""",,"2,125"
,,,,,,,,코스닥,,서울옥션,"""063170""",,"14,230"
,,,,,,,,코스닥,,서울제약,"""018680""",,"4,195"
,,,,,,,,코스닥,,선광,"""003100""",,"32,050"
,,,,,,,,코스닥,,성우테크론,"""045300""",,"4,145"
,,,,,,,,코스닥,,세종텔레콤,"""036630""",,600
,,,,,,,,코스닥,,셀바이오휴먼텍,"""318160""",,"7,790"
,,,,,,,,코스닥,,셀피글로벌,"""068940""",,778
